United States:City Pop:Lat:Lon
.New York-Newark-Jersey City, NY-NJ-PA Metro Area:19,216,182:40.7128:-74.0060
.Los Angeles-Long Beach-Anaheim, CA Metro Area:13,214,799:34.0522:-118.2437
.Chicago-Naperville-Elgin, IL-IN-WI Metro Area:9,458,539:41.8781:-87.6298
.Dallas-Fort Worth-Arlington, TX Metro Area:7,573,136:32.7767:-96.7970
.Houston-The Woodlands-Sugar Land, TX Metro Area:7,066,141:29.7604:-95.3698
.Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area:6,280,487:38.9072:-77.0369
.Miami-Fort Lauderdale-Pompano Beach, FL Metro Area:6,166,488:25.7617:-80.1918
.Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area:6,102,434:39.9526:-75.1652
.Atlanta-Sandy Springs-Alpharetta, GA Metro Area:6,020,364:33.7490:-84.3880
.Phoenix-Mesa-Chandler, AZ Metro Area:4,948,203:33.4484:-112.0740
.Boston-Cambridge-Newton, MA-NH Metro Area:4,873,019:42.3601:-71.0589
.San Francisco-Oakland-Berkeley, CA Metro Area:4,731,803:37.7749:-122.4194
.Riverside-San Bernardino-Ontario, CA Metro Area:4,650,631:34.1083:-117.2898
.Detroit-Warren-Dearborn, MI Metro Area:4,319,629:42.3314:-83.0458
.Seattle-Tacoma-Bellevue, WA Metro Area:3,979,845:47.6062:-122.3321
.Minneapolis-St. Paul-Bloomington, MN-WI Metro Area:3,640,043:44.9778:-93.2650
.San Diego-Chula Vista-Carlsbad, CA Metro Area:3,338,330:32.7157:-117.1611
.Tampa-St. Petersburg-Clearwater, FL Metro Area:3,194,831:27.9506:-82.4572
.Denver-Aurora-Lakewood, CO Metro Area:2,967,239:39.7392:-104.9903
.St. Louis, MO-IL Metro Area:2,803,228:38.6270:-90.1994
.Baltimore-Columbia-Towson, MD Metro Area:2,800,053:39.2904:-76.6122
.Charlotte-Concord-Gastonia, NC-SC Metro Area:2,636,883:35.2271:-80.8431
.Orlando-Kissimmee-Sanford, FL Metro Area:2,608,147:28.5384:-81.3789
.San Antonio-New Braunfels, TX Metro Area:2,550,960:29.4241:-98.4936
.Portland-Vancouver-Hillsboro, OR-WA Metro Area:2,492,412:45.5152:-122.6784
.Sacramento-Roseville-Folsom, CA Metro Area:2,363,730:38.5816:-121.4944
.Pittsburgh, PA Metro Area:2,317,600:40.4406:-79.9959
.Las Vegas-Henderson-Paradise, NV Metro Area:2,266,715:36.1699:-115.1398
.Austin-Round Rock-Georgetown, TX Metro Area:2,227,083:30.2672:-97.7431
.Cincinnati, OH-KY-IN Metro Area:2,221,208:39.1031:-84.5120
.Kansas City, MO-KS Metro Area:2,157,990:39.0997:-94.5786
.Columbus, OH Metro Area:2,122,271:39.9612:-82.9988
.Indianapolis-Carmel-Anderson, IN Metro Area:2,074,537:39.7684:-86.1581
.Cleveland-Elyria, OH Metro Area:2,048,449:41.4993:-81.6944
.San Jose-Sunnyvale-Santa Clara, CA Metro Area:1,990,660:37.3382:-121.8863
.Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area:1,934,317:36.1627:-86.7816
.Virginia Beach-Norfolk-Newport News, VA-NC Metro Area:1,768,901::
.Providence-Warwick, RI-MA Metro Area:1,624,578::
.Milwaukee-Waukesha, WI Metro Area:1,575,179::
.Jacksonville, FL Metro Area:1,559,514::
.Oklahoma City, OK Metro Area:1,408,950::
.Raleigh-Cary, NC Metro Area:1,390,785::
.Memphis, TN-MS-AR Metro Area:1,346,045::
.Richmond, VA Metro Area:1,291,900::
.New Orleans-Metairie, LA Metro Area:1,270,530::
.Louisville/Jefferson County, KY-IN Metro Area:1,265,108::
.Salt Lake City, UT Metro Area:1,232,696::
.Hartford-East Hartford-Middletown, CT Metro Area:1,204,877::
.Buffalo-Cheektowaga, NY Metro Area:1,127,983::
.Birmingham-Hoover, AL Metro Area:1,090,435::
.Grand Rapids-Kentwood, MI Metro Area:1,077,370::
.Rochester, NY Metro Area:1,069,644::
.Tucson, AZ Metro Area:1,047,279::
.Fresno, CA Metro Area:999,101::
.Tulsa, OK Metro Area:998,626::
.Urban Honolulu, HI Metro Area:974,563::
.Omaha-Council Bluffs, NE-IA Metro Area:949,442::
.Worcester, MA-CT Metro Area:947,404::
.Bridgeport-Stamford-Norwalk, CT Metro Area:943,332::
.Greenville-Anderson, SC Metro Area:920,477::
.Albuquerque, NM Metro Area:918,018::
.Bakersfield, CA Metro Area:900,202::
.Albany-Schenectady-Troy, NY Metro Area:880,381::
.Knoxville, TN Metro Area:869,046::
.McAllen-Edinburg-Mission, TX Metro Area:868,707::
.Baton Rouge, LA Metro Area:854,884::
.New Haven-Milford, CT Metro Area:854,757::
.Oxnard-Thousand Oaks-Ventura, CA Metro Area:846,006::
.El Paso, TX Metro Area:844,124::
.Allentown-Bethlehem-Easton, PA-NJ Metro Area:844,052::
.Columbia, SC Metro Area:838,433::
.North Port-Sarasota-Bradenton, FL Metro Area:836,995::
.Dayton-Kettering, OH Metro Area:807,611::
.Charleston-North Charleston, SC Metro Area:802,122::
.Greensboro-High Point, NC Metro Area:771,851::
.Cape Coral-Fort Myers, FL Metro Area:770,577::
.Stockton, CA Metro Area:762,148::
.Boise City, ID Metro Area:749,202::
.Colorado Springs, CO Metro Area:745,791::
.Little Rock-North Little Rock-Conway, AR Metro Area:742,384::
.Lakeland-Winter Haven, FL Metro Area:724,777::
.Akron, OH Metro Area:703,479::
.Des Moines-West Des Moines, IA Metro Area:699,292::
.Springfield, MA Metro Area:697,382::
.Ogden-Clearfield, UT Metro Area:683,864::
.Poughkeepsie-Newburgh-Middletown, NY Metro Area:679,158::
.Winston-Salem, NC Metro Area:676,008::
.Deltona-Daytona Beach-Ormond Beach, FL Metro Area:668,365::
.Madison, WI Metro Area:664,865::
.Syracuse, NY Metro Area:648,593::
.Provo-Orem, UT Metro Area:648,252::
.Durham-Chapel Hill, NC Metro Area:644,367::
.Toledo, OH Metro Area:641,816::
.Wichita, KS Metro Area:640,218::
.Augusta-Richmond County, GA-SC Metro Area:608,980::
.Palm Bay-Melbourne-Titusville, FL Metro Area:601,942::
.Jackson, MS Metro Area:594,806::
.Harrisburg-Carlisle, PA Metro Area:577,941::
.Spokane-Spokane Valley, WA Metro Area:568,521::
.Chattanooga, TN-GA Metro Area:565,194::
.Scranton--Wilkes-Barre, PA Metro Area:553,885::
.Modesto, CA Metro Area:550,660::
.Lansing-East Lansing, MI Metro Area:550,391::
.Lancaster, PA Metro Area:545,724::
.Portland-South Portland, ME Metro Area:538,500::
.Youngstown-Warren-Boardman, OH-PA Metro Area:536,081::
.Fayetteville-Springdale-Rogers, AR Metro Area:534,904::
.Fayetteville, NC Metro Area:526,719::
.Lexington-Fayette, KY Metro Area:517,056::
.Pensacola-Ferry Pass-Brent, FL Metro Area:502,629::
